"n" "Min_V" "d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10" "d11"
597 0.203670502147813 0 0 0 0 0 0 0 0 427 170 0
598 0.204897036945895 0 0 0 0 0 0 0 0 426 172 0
599 0.206103104506398 0 0 0 0 0 0 0 0 425 174 0
600 0.207288888888889 0 0 0 0 0 0 0 0 424 176 0
601 0.208454572384905 0 0 0 0 0 0 0 0 423 178 0
602 0.209600335537135 0 0 0 0 0 0 0 0 422 180 0
603 0.210726357158376 0 0 0 0 0 0 0 0 421 182 0
604 0.211832814350248 0 0 0 0 0 0 0 0 420 184 0
605 0.212919882521686 0 0 0 0 0 0 0 0 419 186 0
606 0.213987735407204 0 0 0 0 0 0 0 0 418 188 0
607 0.215036545084937 0 0 0 0 0 0 0 0 417 190 0
608 0.21606648199446 0 0 0 0 0 0 0 0 416 192 0
609 0.217077714954392 0 0 0 0 0 0 0 0 415 194 0
610 0.21807041117979 0 0 0 0 0 0 0 0 414 196 0
611 0.219044736299324 0 0 0 0 0 0 0 0 413 198 0
612 0.22000085437225 0 0 0 0 0 0 0 0 412 200 0
613 0.220938927905176 0 0 0 0 0 0 0 0 411 202 0
614 0.221859117868625 0 0 0 0 0 0 0 0 410 204 0
615 0.222761583713398 0 0 0 0 0 0 0 0 409 206 0
616 0.221219324506662 0 1 1 0 0 0 0 0 26 588 0
617 0.21945997914308 0 1 1 0 0 0 0 0 25 590 0
618 0.21770038018035 0 1 1 0 0 0 0 0 24 592 0
619 0.215940557624602 0 1 1 0 0 0 0 0 23 594 0
620 0.214180541103018 0 1 1 0 0 0 0 0 22 596 0
621 0.212420359868375 0 1 1 0 0 0 0 0 21 598 0
622 0.210660042803528 0 1 1 0 0 0 0 0 20 600 0
623 0.208899618425833 0 1 1 0 0 0 0 0 19 602 0
624 0.207139114891519 0 1 1 0 0 0 0 0 18 604 0
625 0.20537856 0 1 1 0 0 0 0 0 17 606 0
626 0.203617981198134 0 1 1 0 0 0 0 0 16 608 0
627 0.201857405584426 0 1 1 0 0 0 0 0 15 610 0
628 0.200096859913181 0 1 1 0 0 0 0 0 14 612 0
629 0.198336370598598 0 1 1 0 0 0 0 0 13 614 0
630 0.196575963718821 0 1 1 0 0 0 0 0 12 616 0
631 0.194815665019929 0 1 1 0 0 0 0 0 11 618 0
632 0.193055499919885 0 1 1 0 0 0 0 0 10 620 0
633 0.191295493512425 0 1 1 0 0 0 0 0 9 622 0
634 0.189535670570908 0 1 1 0 0 0 0 0 8 624 0
635 0.187776055552111 0 1 1 0 0 0 0 0 7 626 0
636 0.186016672599976 0 1 1 0 0 0 0 0 6 628 0
637 0.184257545549315 0 1 1 0 0 0 0 0 5 630 0
638 0.182498697929462 0 1 1 0 0 0 0 0 4 632 0
639 0.180740152967886 0 1 1 0 0 0 0 0 3 634 0
640 0.17898193359375 0 1 1 0 0 0 0 0 2 636 0
641 0.177224062441437 0 1 1 0 0 0 0 0 1 638 0
642 0.175466561854019 0 1 1 0 0 0 0 0 0 640 0
643 0.178440388052698 0 1 1 0 0 0 0 0 0 639 2
644 0.181385266772115 0 1 1 0 0 0 0 0 0 638 4
645 0.184301424193258 0 1 1 0 0 0 0 0 0 637 6
646 0.187189084530667 0 1 1 0 0 0 0 0 0 636 8
647 0.190048470052006 0 1 1 0 0 0 0 0 0 635 10
648 0.192879801097394 0 1 1 0 0 0 0 0 0 634 12
649 0.195683296098537 0 1 1 0 0 0 0 0 0 633 14
650 0.198459171597633 0 1 1 0 0 0 0 0 0 632 16
651 0.201207642266064 0 1 1 0 0 0 0 0 0 631 18
652 0.20392892092288 0 1 1 0 0 0 0 0 0 630 20
653 0.206623218553079 0 1 1 0 0 0 0 0 0 629 22
654 0.209290744325674 0 1 1 0 0 0 0 0 0 628 24
655 0.211931705611561 0 1 1 0 0 0 0 0 0 627 26
656 0.21454630800119 0 1 1 0 0 0 0 0 0 626 28
657 0.214484453803901 0 1 0 1 1 0 0 0 18 636 0
658 0.212812150663797 0 1 0 1 1 0 0 0 17 638 0
659 0.211139791978005 0 1 0 1 1 0 0 0 16 640 0
660 0.209467401285583 0 1 0 1 1 0 0 0 15 642 0
661 0.207795001842438 0 1 0 1 1 0 0 0 14 644 0
662 0.206122616624529 0 1 0 1 1 0 0 0 13 646 0
663 0.204450268331024 0 1 0 1 1 0 0 0 12 648 0
664 0.202777979387429 0 1 0 1 1 0 0 0 11 650 0
665 0.201105771948669 0 1 0 1 1 0 0 0 10 652 0
666 0.199433667902136 0 1 0 1 1 0 0 0 9 654 0
667 0.197761688870707 0 1 0 1 1 0 0 0 8 656 0
668 0.196089856215712 0 1 0 1 1 0 0 0 7 658 0
669 0.194418191039881 0 1 0 1 1 0 0 0 6 660 0
670 0.192746714190243 0 1 0 1 1 0 0 0 5 662 0
671 0.191075446261002 0 1 0 1 1 0 0 0 4 664 0
672 0.189404407596372 0 1 0 1 1 0 0 0 3 666 0
673 0.187733618293375 0 1 0 1 1 0 0 0 2 668 0
674 0.186063098204616 0 1 0 1 1 0 0 0 1 670 0
675 0.184392866941015 0 1 0 1 1 0 0 0 0 672 0
676 0.187237404152516 0 1 0 1 1 0 0 0 0 671 2
677 0.186512308843647 0 1 0 1 0 0 0 0 29 646 0
678 0.184953141723445 0 1 0 1 0 0 0 0 28 648 0
679 0.183393667808286 0 1 0 1 0 0 0 0 27 650 0
680 0.181833910034602 0 1 0 1 0 0 0 0 26 652 0
681 0.180273891077516 0 1 0 1 0 0 0 0 25 654 0
682 0.178713633353686 0 1 0 1 0 0 0 0 24 656 0
683 0.177153159024114 0 1 0 1 0 0 0 0 23 658 0
684 0.175592489996922 0 1 0 1 0 0 0 0 22 660 0
685 0.174031647930097 0 1 0 1 0 0 0 0 21 662 0
686 0.172470654234205 0 1 0 1 0 0 0 0 20 664 0
687 0.170909530075068 0 1 0 1 0 0 0 0 19 666 0
688 0.16934829637642 0 1 0 1 0 0 0 0 18 668 0
689 0.167786973822519 0 1 0 1 0 0 0 0 17 670 0
690 0.166225582860744 0 1 0 1 0 0 0 0 16 672 0
691 0.164664143704147 0 1 0 1 0 0 0 0 15 674 0
692 0.16310267633399 0 1 0 1 0 0 0 0 14 676 0
693 0.161541200502239 0 1 0 1 0 0 0 0 13 678 0
694 0.15997973573404 0 1 0 1 0 0 0 0 12 680 0
695 0.158418301330159 0 1 0 1 0 0 0 0 11 682 0
696 0.156856916369401 0 1 0 1 0 0 0 0 10 684 0
697 0.155295599710998 0 1 0 1 0 0 0 0 9 686 0
698 0.153734369996962 0 1 0 1 0 0 0 0 8 688 0
699 0.15217324565443 0 1 0 1 0 0 0 0 7 690 0
700 0.150612244897959 0 1 0 1 0 0 0 0 6 692 0
701 0.149051385731816 0 1 0 1 0 0 0 0 5 694 0
702 0.147490685952224 0 1 0 1 0 0 0 0 4 696 0
703 0.145930163149599 0 1 0 1 0 0 0 0 3 698 0
704 0.144369834710744 0 1 0 1 0 0 0 0 2 700 0
705 0.142809717821035 0 1 0 1 0 0 0 0 1 702 0
706 0.141249829466571 0 1 0 1 0 0 0 0 0 704 0
707 0.14398348301187 0 1 0 1 0 0 0 0 0 703 2
708 0.146693159692298 0 1 0 1 0 0 0 0 0 702 4
709 0.149379029643054 0 1 0 1 0 0 0 0 0 701 6
710 0.152041261654434 0 1 0 1 0 0 0 0 0 700 8
711 0.154680023184002 0 1 0 1 0 0 0 0 0 699 10
712 0.15729548036864 0 1 0 1 0 0 0 0 0 698 12
713 0.15704734159636 0 1 0 0 1 0 0 0 25 686 0
714 0.155577917441486 0 1 0 0 1 0 0 0 24 688 0
715 0.154108269353025 0 1 0 0 1 0 0 0 23 690 0
716 0.152638416403982 0 1 0 0 1 0 0 0 22 692 0
717 0.151168377459934 0 1 0 0 1 0 0 0 21 694 0
718 0.149698171181167 0 1 0 0 1 0 0 0 20 696 0
719 0.148227816024807 0 1 0 0 1 0 0 0 19 698 0
720 0.146757330246914 0 1 0 0 1 0 0 0 18 700 0
721 0.145286731904563 0 1 0 0 1 0 0 0 17 702 0
722 0.143816038857897 0 1 0 0 1 0 0 0 16 704 0
723 0.142345268772155 0 1 0 0 1 0 0 0 15 706 0
724 0.140874439119685 0 1 0 0 1 0 0 0 14 708 0
725 0.139403567181926 0 1 0 0 1 0 0 0 13 710 0
726 0.137932670051378 0 1 0 0 1 0 0 0 12 712 0
727 0.136461764633539 0 1 0 0 1 0 0 0 11 714 0
728 0.134990867648835 0 1 0 0 1 0 0 0 10 716 0
729 0.133519995634511 0 1 0 0 1 0 0 0 9 718 0
730 0.132049164946519 0 1 0 0 1 0 0 0 8 720 0
731 0.130578391761375 0 1 0 0 1 0 0 0 7 722 0
732 0.129107692077996 0 1 0 0 1 0 0 0 6 724 0
733 0.127637081719522 0 1 0 0 1 0 0 0 5 726 0
734 0.126166576335113 0 1 0 0 1 0 0 0 4 728 0
735 0.124696191401731 0 1 0 0 1 0 0 0 3 730 0
736 0.123225942225898 0 1 0 0 1 0 0 0 2 732 0
737 0.121755843945439 0 1 0 0 1 0 0 0 1 734 0
738 0.120285911531202 0 1 0 0 1 0 0 0 0 736 0
739 0.122917814916475 0 1 0 0 1 0 0 0 0 735 2
740 0.123175675675676 0 1 0 0 0 0 0 0 29 710 0
741 0.121796237713561 0 1 0 0 0 0 0 0 28 712 0
742 0.120416518333927 0 1 0 0 0 0 0 0 27 714 0
743 0.119036534800353 0 1 0 0 0 0 0 0 26 716 0
744 0.117656304197017 0 1 0 0 0 0 0 0 25 718 0
745 0.116275843430476 0 1 0 0 0 0 0 0 24 720 0
746 0.114895169231433 0 1 0 0 0 0 0 0 23 722 0
747 0.113514298156481 0 1 0 0 0 0 0 0 22 724 0
748 0.112133246589837 0 1 0 0 0 0 0 0 21 726 0
749 0.110752030745043 0 1 0 0 0 0 0 0 20 728 0
750 0.109370666666667 0 1 0 0 0 0 0 0 19 730 0
751 0.107989170231968 0 1 0 0 0 0 0 0 18 732 0
752 0.106607557152558 0 1 0 0 0 0 0 0 17 734 0
753 0.105225842976037 0 1 0 0 0 0 0 0 16 736 0
754 0.103844043087618 0 1 0 0 0 0 0 0 15 738 0
755 0.102462172711723 0 1 0 0 0 0 0 0 14 740 0
756 0.10108024691358 0 1 0 0 0 0 0 0 13 742 0
757 0.0996982806007863 0 1 0 0 0 0 0 0 12 744 0
758 0.0983162885248641 0 1 0 0 0 0 0 0 11 746 0
759 0.0969342852827988 0 1 0 0 0 0 0 0 10 748 0
760 0.0955522853185596 0 1 0 0 0 0 0 0 9 750 0
761 0.0941703029246047 0 1 0 0 0 0 0 0 8 752 0
762 0.0927883522433712 0 1 0 0 0 0 0 0 7 754 0
763 0.0914064472687484 0 1 0 0 0 0 0 0 6 756 0
764 0.0900246018475371 0 1 0 0 0 0 0 0 5 758 0
765 0.088642829680892 0 1 0 0 0 0 0 0 4 760 0
766 0.0872611443257504 0 1 0 0 0 0 0 0 3 762 0
767 0.0858795591962454 0 1 0 0 0 0 0 0 2 764 0
768 0.0844980875651042 0 1 0 0 0 0 0 0 1 766 0
769 0.0831167425650322 0 1 0 0 0 0 0 0 0 768 0
770 0.0856535672120087 0 1 0 0 0 0 0 0 0 767 2
771 0.0881702305190928 0 1 0 0 0 0 0 0 0 766 4
772 0.0906668635399608 0 1 0 0 0 0 0 0 0 765 6
773 0.0931435963777489 0 1 0 0 0 0 0 0 0 764 8
774 0.0956005581929505 0 1 0 0 0 0 0 0 0 763 10
775 0.0980378772112382 0 1 0 0 0 0 0 0 0 762 12
776 0.100455680731215 0 1 0 0 0 0 0 0 0 761 14
777 0.102854095132087 0 1 0 0 0 0 0 0 0 760 16
778 0.105233245881272 0 1 0 0 0 0 0 0 0 759 18
779 0.107593257541926 0 1 0 0 0 0 0 0 0 758 20
780 0.109934253780408 0 1 0 0 0 0 0 0 0 757 22
781 0.112256357373668 0 1 0 0 0 0 0 0 0 756 24
782 0.114559690216574 0 1 0 0 0 0 0 0 0 755 26
783 0.116844373329158 0 1 0 0 0 0 0 0 0 754 28
784 0.119110526863807 0 1 0 0 0 0 0 0 0 753 30
785 0.121358270112378 0 1 0 0 0 0 0 0 0 752 32
786 0.12358772151325 0 1 0 0 0 0 0 0 0 751 34
787 0.125798998658312 0 1 0 0 0 0 0 0 0 750 36
788 0.127992218299879 0 1 0 0 0 0 0 0 0 749 38
789 0.130167496357553 0 1 0 0 0 0 0 0 0 748 40
790 0.132324947925012 0 1 0 0 0 0 0 0 0 747 42
791 0.134464687276743 0 1 0 0 0 0 0 0 0 746 44
792 0.136586827874707 0 1 0 0 0 0 0 0 0 745 46
793 0.138691482374942 0 1 0 0 0 0 0 0 0 744 48
794 0.140778762634114 0 1 0 0 0 0 0 0 0 743 50
795 0.142848779715992 0 1 0 0 0 0 0 0 0 742 52
796 0.144901643897881 0 1 0 0 0 0 0 0 0 741 54
797 0.144639008578279 0 0 1 1 1 0 0 0 6 788 0
798 0.143279564826854 0 0 1 1 1 0 0 0 5 790 0
799 0.141920203759079 0 0 1 1 1 0 0 0 4 792 0
800 0.1405609375 0 0 1 1 1 0 0 0 3 794 0
801 0.139201778052092 0 0 1 1 1 0 0 0 2 796 0
802 0.13784273729641 0 0 1 1 1 0 0 0 1 798 0
803 0.13648382699373 0 0 1 1 1 0 0 0 0 800 0
804 0.138907452785822 0 0 1 1 1 0 0 0 0 799 2
805 0.13889278963003 0 0 1 1 0 0 0 0 29 774 0
