"n" "Min_V" "d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10"
347 0.230431280053817 0 1 0 1 0 0 0 7 338 0
348 0.227209671026556 0 1 0 1 0 0 0 6 340 0
349 0.223988308798778 0 1 0 1 0 0 0 5 342 0
350 0.220767346938776 0 1 0 1 0 0 0 4 344 0
351 0.217546935495653 0 1 0 1 0 0 0 3 346 0
352 0.21432722107438 0 1 0 1 0 0 0 2 348 0
353 0.211108346909132 0 1 0 1 0 0 0 1 350 0
354 0.20789045293498 0 1 0 1 0 0 0 0 352 0
355 0.211672287244594 0 1 0 0 0 0 0 30 324 0
356 0.208875142027522 0 1 0 0 0 0 0 29 326 0
357 0.206074586697424 0 1 0 0 0 0 0 28 328 0
358 0.203270809275616 0 1 0 0 0 0 0 27 330 0
359 0.200463993916869 0 1 0 0 0 0 0 26 332 0
360 0.197654320987654 0 1 0 0 0 0 0 25 334 0
361 0.194841967142671 0 1 0 0 0 0 0 24 336 0
362 0.192027105399713 0 1 0 0 0 0 0 23 338 0
363 0.18920990521291 0 1 0 0 0 0 0 22 340 0
364 0.186390532544379 0 1 0 0 0 0 0 21 342 0
365 0.183569149934322 0 1 0 0 0 0 0 20 344 0
366 0.18074591656962 0 1 0 0 0 0 0 19 346 0
367 0.177920988350942 0 1 0 0 0 0 0 18 348 0
368 0.175094517958412 0 1 0 0 0 0 0 17 350 0
369 0.172266654915872 0 1 0 0 0 0 0 16 352 0
370 0.169437545653762 0 1 0 0 0 0 0 15 354 0
371 0.166607333570666 0 1 0 0 0 0 0 14 356 0
372 0.163776159093537 0 1 0 0 0 0 0 13 358 0
373 0.160944159736647 0 1 0 0 0 0 0 12 360 0
374 0.158111470159284 0 1 0 0 0 0 0 11 362 0
375 0.155278222222222 0 1 0 0 0 0 0 10 364 0
376 0.152444545043006 0 1 0 0 0 0 0 9 366 0
377 0.14961056505006 0 1 0 0 0 0 0 8 368 0
378 0.146776406035665 0 1 0 0 0 0 0 7 370 0
379 0.143942189207817 0 1 0 0 0 0 0 6 372 0
380 0.141108033240997 0 1 0 0 0 0 0 5 374 0
381 0.138274054325886 0 1 0 0 0 0 0 4 376 0
382 0.135440366218031 0 1 0 0 0 0 0 3 378 0
383 0.132607080285502 0 1 0 0 0 0 0 2 380 0
384 0.129774305555556 0 1 0 0 0 0 0 1 382 0
385 0.126942148760331 0 1 0 0 0 0 0 0 384 0
386 0.131956562592284 0 1 0 0 0 0 0 0 383 2
387 0.136890811850249 0 1 0 0 0 0 0 0 382 4
388 0.141745934743331 0 1 0 0 0 0 0 0 381 6
389 0.146522954513914 0 1 0 0 0 0 0 0 380 8
390 0.151222879684418 0 1 0 0 0 0 0 0 379 10
391 0.155846704299422 0 1 0 0 0 0 0 0 378 12
392 0.160395408163265 0 1 0 0 0 0 0 0 377 14
393 0.164869957073209 0 1 0 0 0 0 0 0 376 16
394 0.169271303048262 0 1 0 0 0 0 0 0 375 18
395 0.173600384553757 0 1 0 0 0 0 0 0 374 20
396 0.177858126721763 0 1 0 0 0 0 0 0 373 22
397 0.182045441567423 0 1 0 0 0 0 0 0 372 24
398 0.186163228201308 0 1 0 0 0 0 0 0 371 26
399 0.190212373037858 0 1 0 0 0 0 0 0 370 28
400 0.19224375 0 0 1 1 0 0 0 18 380 0
401 0.189638124141019 0 0 1 1 0 0 0 17 382 0
402 0.187031261602436 0 0 1 1 0 0 0 16 384 0
403 0.18442327703514 0 0 1 1 0 0 0 15 386 0
404 0.18181428291344 0 0 1 1 0 0 0 14 388 0
405 0.17920438957476 0 0 1 1 0 0 0 13 390 0
406 0.17659370525856 0 0 1 1 0 0 0 12 392 0
407 0.173982336144498 0 0 1 1 0 0 0 11 394 0
408 0.17137038638985 0 0 1 1 0 0 0 10 396 0
409 0.168757958166199 0 0 1 1 0 0 0 9 398 0
410 0.166145151695419 0 0 1 1 0 0 0 8 400 0
411 0.163532065284956 0 0 1 1 0 0 0 7 402 0
412 0.160918795362428 0 0 1 1 0 0 0 6 404 0
413 0.158305436509565 0 0 1 1 0 0 0 5 406 0
414 0.155692081495484 0 0 1 1 0 0 0 4 408 0
415 0.153078821309334 0 0 1 1 0 0 0 3 410 0
416 0.150465745192308 0 0 1 1 0 0 0 2 412 0
417 0.147852940669048 0 0 1 1 0 0 0 1 414 0
418 0.145240493578444 0 0 1 1 0 0 0 0 416 0
419 0.149896617130228 0 0 1 1 0 0 0 0 415 2
420 0.14781746031746 0 0 1 0 0 0 0 29 390 0
421 0.14549680942897 0 0 1 0 0 0 0 28 392 0
422 0.143174007771613 0 0 1 0 0 0 0 27 394 0
423 0.140849163634738 0 0 1 0 0 0 0 26 396 0
424 0.138522383410466 0 0 1 0 0 0 0 25 398 0
425 0.136193771626298 0 0 1 0 0 0 0 24 400 0
426 0.133863430977099 0 0 1 0 0 0 0 23 402 0
427 0.131531462356509 0 0 1 0 0 0 0 22 404 0
428 0.129197964887763 0 0 1 0 0 0 0 21 406 0
429 0.126863035953945 0 0 1 0 0 0 0 20 408 0
